"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"FLT1",32991.72841954,3.62452170236894,0.307136328321962,1.79643673627495e-33,1.12295260384547e-29
"LEP",2763.19340261248,7.18546141309515,0.607316129035329,9.4541479803637e-34,1.12295260384547e-29
"COL17A1",1233.13723388345,3.77611420468427,0.332281582135852,2.68697911221906e-31,1.11975376203209e-27
"KRT19",2166.80774292726,1.65117726814505,0.165743872189835,1.23217043090688e-24,3.85114868179945e-21
"TPBG",250.045460267678,2.15229819489854,0.221248538958557,1.27038472527046e-23,3.17646996706626e-20
"SLCO2A1",1391.51439505676,1.94679413412297,0.201995831752879,2.7738183097071e-23,5.77971275132636e-20
"DIO2",328.982838710809,4.48255867521505,0.483494453631808,7.65682315652605e-22,1.36750861575555e-18
"MUC1",104.234197429324,3.25408211161084,0.364203696715846,1.84991688907221e-20,2.89095761839759e-17
"ARNT2",103.673246987033,3.36089719808907,0.379412369010281,3.9604570976961e-20,5.50151495948852e-17
"ARHGEF4",57.5766334808278,4.41953773232987,0.501743684972271,5.01289765891335e-20,6.26712465317347e-17
"INHBA",3504.71743872136,2.56113731567238,0.295118948005523,2.24513505934799e-19,2.5516980465426e-16
"ADCY3",561.625960615655,-1.206314499338,0.145851167788535,1.02158539078449e-17,1.06432171296564e-14
"CST6",23.9047594952347,3.80251138090258,0.462826459377352,2.47924486117681e-17,2.38427071187942e-14
"EGLN3",196.56501765534,3.69563350715963,0.464775518517329,7.56893945826748e-17,6.75906293623286e-14
"NR2F1",344.544334605266,-1.55451808193397,0.196944110416107,1.58851002760944e-16,1.32397015767821e-13
"NPNT",130.797851969708,2.57070783370644,0.332200768042847,3.91013414025672e-16,3.0552810638431e-13
"LAMA2",3010.66734359319,-1.11447912196617,0.144768316175756,1.01269397138895e-15,7.03372223905816e-13
"APLN",370.815142072577,-1.84174950418141,0.242393423505562,1.70344823217185e-15,1.12086893676908e-12
"SLC35F2",169.972942451168,1.34365830055941,0.178927610259421,3.73831221107842e-15,2.33681896314512e-12
"HEYL",294.075516380136,-1.47510731646975,0.199487456910183,7.07539021949145e-15,4.09169440729392e-12
"TRPC6",282.75135742565,-1.20355673184134,0.162150269666844,7.2002301200181e-15,4.09169440729392e-12
"SLC45A4",383.783191707921,-1.51451196173806,0.209012062891029,2.6176553512834e-14,1.42286640007587e-11
"SH3BP5",778.065859072409,2.22506991877046,0.311549308772323,4.62978160134246e-14,2.41173039916598e-11
"RASEF",158.309015184671,2.41736954290171,0.340483406156152,5.16951440965817e-14,2.58517076598186e-11
"C12orf75",76.725819506402,2.84794911743879,0.400603376114445,5.8872997831349e-14,2.83088545725971e-11
"SLC22A3",201.185989376403,-1.3454290067962,0.188397513237531,6.13265514148804e-14,2.83964646588457e-11
"INHA",448.339085443598,2.53362786648072,0.359568675155903,7.62988527886437e-14,3.40674377701294e-11
"TREM1",119.085067551289,3.06979540238932,0.44168387766359,1.41607322159534e-13,6.10474048840861e-11
